vendor_name	invoice_pattern	charge_type	sample_count	priority
GFL	OC	Empty & Return	5	1
GFL	EQUIPMENT USE FEE//-//	Trip Charge	4	1
GFL	FUEL SURCHARGE\NSITE TOTAL	Fuel Surcharge Commercial	4	1
GFL	TRIP OC	Empty & Return	4	1
GFL	AB SURCHARGE DEC	Delivery Commercial	3	1
GFL	AB SURCHARGE NOV	Delivery Commercial	3	1
GFL	AB SURCHARGE OCT	Delivery Commercial	3	1
GFL	MONTHLY CONTAINER RENTAL FEE INCLUDES RE	Delivery Commercial	3	1
GFL	MONTHLY CONTAINER RENTAL FEE INCLUDES RE	Delivery Commercial	3	1
GFL	TEXAS STATE TAX AT %	Tax Commercial	3	1
GFL	CY FRONT LOAD OCC CONTAINER\NRENTAL	Monthly Rental Commercial	2	1
GFL	RTS FLAT HAUL & DISPOSAL CHARGE\NWO#	Local Surcharges/Fees Industrial	2	1
GFL	COMM	Monthly Rental Industrial	2	1
GFL	COMM OVERAGE W#	Monthly Rental Industrial	2	1
GFL	COMM OVERAGE WO#	Monthly Rental Industrial	2	1
GFL	COMM OVERAGE WO#	Monthly Rental Industrial	2	1
GFL	COMM OVERAGE WO#	Monthly Rental Industrial	2	1
GFL	DISPOSAL AND RELATED FEES\NWO#	Disposal Charge	2	1
GFL	DISPOSAL AND RELATED FEES\NWO#	Local Surcharges/Fees Industrial	2	1
GFL	DISPOSAL AND RELATED FEES\NWO# OC	FUEL SURCHARGE	2	1
GFL	DISPOSAL RO CONCRETE WO#	Fuel Surcharge Industrial	2	1
GFL	FLAT FEE DISPOSAL	Fuel Surcharge Industrial	2	1
GFL	LINER FOR RO CONTAINER\NWO#	Local Surcharges/Fees Industrial	2	1
GFL	OPTIONAL PAPER SERVICE	Local Surcharges/Fees Commercial	2	1
GFL	RECYCLE PROCESSING ADJUSTMENT	Local Surcharges/Fees Commercial	2	1
GFL	RO EXCHANGE WO#	Trip Charge	2	1
GFL	RO EXCHANGE WO#	Trip Charge	2	1
GFL	RO FINAL PULL WO#	Trip Charge	2	1
GFL	CY FRONT LOAD SVC MSW TIMES	Fuel Surcharge Commercial	1	1
GFL	COMM EXCHANGE W#	Container Exchange	1	1
GFL	HOUSTON FRANCHISE FEE\NSC	Franchise Fee Commercial	1	1
GFL	OIL/ENVIRONMENTAL PRICE ADJUSTMENT	Fuel Surcharge Industrial	1	1
GFL	RECYCLE PROCESSING FEE SC	Local Surcharges/Fees Commercial	1	1
GFL Environmental	PUBLIC TRANSPORTATION AUTHORITY	FUEL SURCHARGE	84	1
GFL Environmental	CARDBOARD PROCESSING ADJUSTMENT	Local Surcharges/Fees Commercial	22	1
GFL Environmental	CART RECYCLE PROCESSING ADJUSTMENT	Local Surcharges/Fees Commercial	14	1
GFL Environmental	FUEL SURCHARGE	Fuel Surcharge Commercial	7	1
GFL Environmental	CY DELIVERY WO#	Fuel Surcharge Industrial	5	1
GFL Environmental	SITE TAX TOTAL	Vendor Cost Increase - Commercial	5	1
GFL Environmental	SITE SURCHARGE TOTAL	Fuel Surcharge Industrial	3	1
GFL Environmental	COMM REMOVAL WO#	Removal Commercial	2	1
GFL Environmental	COMM REMOVAL WO# \NSERV # COMM FL RECY C	Removal Commercial	2	1
GFL Environmental	DISPOSAL RO OCCDISPOSAL RO	FUEL SURCHARGE	2	1
GFL Environmental	REMOVAL CHARGE FL CONTAINER\NWO#	Monthly Service Commercial	2	1
GFL Environmental	SUB TOTAL TAXES OIL/ENVIRONMENTAL & FEES	Fuel Surcharge Commercial	2	1
GFL Environmental	CY FRONT LOAD SVC MSW WEEKLY	Monthly Service Commercial	1	1
GFL Environmental	CY FRONT LOAD SVC O	Monthly Service Commercial	1	1
GFL Environmental	DISPOSAL RO OCC WO#	FUEL SURCHARGE	1	1
Hamilton Alliance, Inc	DISPOSAL CHARGE - OCC	FUEL SURCHARGE	34	1
Hamilton Alliance, Inc	YD OPEN TOP - TRASH	Monthly Rental Industrial	1	1
Hamilton Alliance, Inc	HAUL CHARGE	Empty & Return	1	1
MERIDIAN WASTE	BROKER FUEL FL	Fuel Surcharge Commercial	7	1
MERIDIAN WASTE	YD ROL TEMP DISPOSAL	Contaminated Disposal Charge	2	1
MERIDIAN WASTE	BROKER FUEL	Fuel Surcharge Commercial	2	1
MERIDIAN WASTE	DUVALL CNTY FRANCHISE FEE	Local Surcharges/Fees Commercial	1	1
MERIDIAN WASTE	LOCK BAR	Lock Bar	1	1
Priority Waste IN	FL-COMM-RECYCLING-YD	Delivery Industrial	9	1
Priority Waste IN	FL-COMM-TRASH-YD	Delivery Industrial	6	1
Priority Waste IN	PAL-FLC-RECYCLING // DELIVERY	Delivery Industrial	6	1
Priority Waste IN	PAL-FLC-TRASH // DELIVERY	Delivery Industrial	6	1
Priority Waste IN	SWITCH ROLL OFF CONTAINER \NYD ROLL OFF	Trip Charge	5	1
Priority Waste IN	AB SURCHARGE DEC	Delivery Industrial	3	1
Priority Waste IN	AB SURCHARGE NOV	Delivery Industrial	3	1
Priority Waste IN	AB SURCHARGE OCT	Delivery Industrial	3	1
Priority Waste IN	MONTHLY CONTAINER RENTAL FEE INCLUDES RE	Delivery Industrial	3	1
Priority Waste IN	MONTHLY CONTAINER RENTAL FEE INCLUDES RE	Delivery Industrial	3	1
Priority Waste IN	FUEL RECOVERY FEE - FL	Fuel Surcharge Commercial	1	1
Priority Waste IN	INDIANAPOLIS SALES TAX	Tax Commercial	1	1
Priority Waste IN	OC	Trip Charge	1	1
Priority Waste IN	SWITCH ROLL OFF CONTAINER	Trip Charge	1	1
